Time (s)	Position (m)	Time (s)	Velocity (m/s)	Time (s)	Acceleration (m/s²)
0	0.00045	-0.025	0.009	0	0.975
0.05	0.003	0.025	0.058	0.05	0.96
0.1	0.009	0.075	0.106	0.1	0.93
0.15	0.016	0.125	0.152	0.15	0.945
0.2	0.026	0.175	0.199	0.2	0.945
0.25	0.039	0.225	0.247	0.25	0.945
0.3	0.053	0.275	0.294	0.3	0.975
0.35	0.07	0.325	0.343	0.35	0.96
0.4	0.09	0.375	0.391	0.4	0.885
0.45	0.112	0.425	0.435	0.45	0.93
0.5	0.136	0.475	0.481	0.5	0.885
0.55	0.162	0.525	0.526	0.55	0.99
0.6	0.191	0.575	0.575	0.6	0.945
0.65	0.222	0.625	0.622	0.65	0.99
0.7	0.256	0.675	0.672	0.7	0.855
0.75	0.291	0.725	0.715	0.75	0.87
0.8	0.329	0.775	0.758	0.8	1.005
0.85	0.37	0.825	0.808	0.85	0.93
0.9	0.412	0.875	0.855	0.9	0.84
0.95	0.457	0.925	0.897	0.95	0.897
